type,contact_index,contact_label,roi_id,roi_rank,distance
bipolar,53,I*1-I*2,686,1,15.289535775049597
bipolar,77,W*7-W*8,330,1,14.48500345668212
bipolar,76,W*6-W*7,330,1,12.243151821770692
bipolar,54,I*2-I*3,686,1,11.757489450865885
bipolar,75,W*5-W*6,330,1,10.761867860714194
bipolar,74,W*4-W*5,330,1,9.8882050253712
bipolar,16,B*1-B*2,421,1,9.503125906604248
bipolar,29,B*14-B*15,162,1,9.328344227550824
bipolar,55,I*3-I*4,686,1,8.84287780017523
bipolar,73,W*3-W*4,150,1,8.18744061016549
bipolar,71,W*1-W*2,150,1,7.851216075328369
bipolar,56,I*4-I*5,687,1,7.509291169035003
bipolar,72,W*2-W*3,150,1,7.426011112342768
bipolar,52,E*9-E*10,499,1,7.302783177261499
bipolar,61,I*9-I*10,763,1,6.910712881915614
bipolar,17,B*2-B*3,421,1,6.697685360945287
bipolar,1,A*1-A*2,657,1,6.346659460795371
bipolar,28,B*13-B*14,162,1,6.296310499564931
